"Cage","Date","Hour","Minute","HopsPerMinute","timestamp","Treatment","Sex","LightsOn","LightsOff","Phase"
15,2023-03-03,0,53,0,2023-03-03 00:53:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,54,0,2023-03-03 00:54:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,55,0,2023-03-03 00:55:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,56,0,2023-03-03 00:56:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,57,0,2023-03-03 00:57:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,58,0,2023-03-03 00:58:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,0,59,0,2023-03-03 00:59:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,0,0,2023-03-03 01:00:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,1,0,2023-03-03 01:01:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,2,0,2023-03-03 01:02:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,3,0,2023-03-03 01:03:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,4,0,2023-03-03 01:04:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,5,0,2023-03-03 01:05:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,6,0,2023-03-03 01:06:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,7,0,2023-03-03 01:07:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,8,0,2023-03-03 01:08:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,9,0,2023-03-03 01:09:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,10,0,2023-03-03 01:10:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,11,0,2023-03-03 01:11:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,12,0,2023-03-03 01:12:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,13,0,2023-03-03 01:13:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,14,0,2023-03-03 01:14:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,15,0,2023-03-03 01:15:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,16,0,2023-03-03 01:16:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,17,0,2023-03-03 01:17:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,18,0,2023-03-03 01:18:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,19,0,2023-03-03 01:19:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,20,0,2023-03-03 01:20:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,21,0,2023-03-03 01:21:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,22,0,2023-03-03 01:22:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,23,0,2023-03-03 01:23:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,24,0,2023-03-03 01:24:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,25,0,2023-03-03 01:25:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,26,0,2023-03-03 01:26:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,27,0,2023-03-03 01:27:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,28,0,2023-03-03 01:28:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,29,0,2023-03-03 01:29:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,30,0,2023-03-03 01:30:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,31,0,2023-03-03 01:31:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,32,0,2023-03-03 01:32:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,33,0,2023-03-03 01:33:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,34,0,2023-03-03 01:34:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,35,0,2023-03-03 01:35:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,36,0,2023-03-03 01:36:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,37,0,2023-03-03 01:37:00,"LD","F","09:00 AM","09:00 PM","night"
